Date,Close,High,Low,Open,Volume,Pct_Change,upper_shadow_ratio,lower_shadow_ratio,price_diff_ratio,Vol_Pct_Change,RSI_7,RSI_14,DIF,DEA,MACD,^VIX
2024-04-17,423.25,430.49,422.32,430.47,56880500,-1.22,0.0,0.11,-0.02,19.45,27.32,37.31,-1.46,0.54,-3.99,18.21
2024-04-18,420.84,425.64,420.26,423.9,46549400,-0.57,0.32,0.11,-0.01,-18.16,24.78,35.47,-2.38,-0.05,-4.66,18.0
2024-04-19,412.13,420.18,410.56,419.65,75136600,-2.07,0.05,0.16,-0.02,61.41,17.83,29.78,-3.76,-0.79,-5.94,18.71
2024-04-22,416.28,418.62,411.43,414.77,47807700,1.01,0.33,0.47,0.0,-36.37,28.91,35.12,-4.47,-1.53,-5.89,16.94
2024-04-23,422.49,423.69,416.33,418.21,44384700,1.49,0.16,0.26,0.01,-7.16,42.47,42.21,-4.48,-2.12,-4.73,15.69
2024-04-24,423.92,427.12,421.62,425.6,48440300,0.34,0.28,0.42,-0.0,9.14,45.28,43.74,-4.33,-2.56,-3.54,15.97
2024-04-25,421.87,422.74,415.6,416.69,57392200,-0.48,0.12,0.15,0.01,18.48,41.87,42.03,-4.32,-2.91,-2.81,15.37
2024-04-26,428.38,429.92,424.33,425.02,41874900,1.54,0.28,0.12,0.01,-27.04,54.56,48.87,-3.74,-3.08,-1.33,15.03
2024-04-29,430.12,431.12,427.37,430.5,30022200,0.41,0.17,0.73,-0.0,-28.31,57.45,50.55,-3.11,-3.08,-0.05,14.67
2024-04-30,422.01,429.93,421.93,428.53,43665900,-1.89,0.18,0.01,-0.02,45.45,42.67,43.39,-3.23,-3.11,-0.23,15.65
2024-05-01,418.96,427.53,418.1,420.58,52251700,-0.72,0.74,0.09,-0.0,19.66,38.34,41.04,-3.53,-3.2,-0.66,15.39
2024-05-02,424.31,425.21,418.07,422.72,36559000,1.28,0.13,0.65,0.0,-30.03,48.93,46.51,-3.29,-3.21,-0.15,14.68
2024-05-03,432.83,433.83,429.99,431.8,48515300,2.01,0.26,0.47,0.0,32.7,61.31,53.87,-2.39,-3.05,1.32,13.49
2024-05-06,437.58,437.66,433.87,434.64,30227200,1.1,0.02,0.2,0.01,-37.7,66.56,57.38,-1.28,-2.7,2.83,13.49
2024-05-07,437.64,439.28,436.91,438.02,30996100,0.02,0.53,0.31,-0.0,2.54,66.64,57.43,-0.39,-2.23,3.69,13.23
2024-05-08,437.39,438.8,434.89,435.01,24896700,-0.06,0.36,0.03,0.01,-19.68,65.98,57.16,0.29,-1.73,4.04,13.0
